data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-12-19;2025;12;Dezembro;4;19;Sexta-feira;False;2025-12
2025-12-20;2025;12;Dezembro;4;20;Sábado;True;2025-12
2025-12-21;2025;12;Dezembro;4;21;Domingo;True;2025-12
2025-12-22;2025;12;Dezembro;4;22;Segunda-feira;False;2025-12
2025-12-23;2025;12;Dezembro;4;23;Terça-feira;False;2025-12
2025-12-24;2025;12;Dezembro;4;24;Quarta-feira;False;2025-12
2025-12-25;2025;12;Dezembro;4;25;Quinta-feira;False;2025-12
2025-12-26;2025;12;Dezembro;4;26;Sexta-feira;False;2025-12
2025-12-27;2025;12;Dezembro;4;27;Sábado;True;2025-12
2025-12-28;2025;12;Dezembro;4;28;Domingo;True;2025-12
2025-12-29;2025;12;Dezembro;4;29;Segunda-feira;False;2025-12
2025-12-30;2025;12;Dezembro;4;30;Terça-feira;False;2025-12
2025-12-31;2025;12;Dezembro;4;31;Quarta-feira;False;2025-12
2026-01-01;2026;1;Janeiro;1;1;Quinta-feira;False;2026-01
2026-01-02;2026;1;Janeiro;1;2;Sexta-feira;False;2026-01
2026-01-03;2026;1;Janeiro;1;3;Sábado;True;2026-01
2026-01-04;2026;1;Janeiro;1;4;Domingo;True;2026-01
2026-01-05;2026;1;Janeiro;1;5;Segunda-feira;False;2026-01
2026-01-06;2026;1;Janeiro;1;6;Terça-feira;False;2026-01
2026-01-07;2026;1;Janeiro;1;7;Quarta-feira;False;2026-01
2026-01-08;2026;1;Janeiro;1;8;Quinta-feira;False;2026-01
2026-01-09;2026;1;Janeiro;1;9;Sexta-feira;False;2026-01
2026-01-10;2026;1;Janeiro;1;10;Sábado;True;2026-01
2026-01-11;2026;1;Janeiro;1;11;Domingo;True;2026-01
2026-01-12;2026;1;Janeiro;1;12;Segunda-feira;False;2026-01
2026-01-13;2026;1;Janeiro;1;13;Terça-feira;False;2026-01
2026-01-14;2026;1;Janeiro;1;14;Quarta-feira;False;2026-01
2026-01-15;2026;1;Janeiro;1;15;Quinta-feira;False;2026-01
2026-01-16;2026;1;Janeiro;1;16;Sexta-feira;False;2026-01
2026-01-17;2026;1;Janeiro;1;17;Sábado;True;2026-01
2026-01-18;2026;1;Janeiro;1;18;Domingo;True;2026-01
2026-01-19;2026;1;Janeiro;1;19;Segunda-feira;False;2026-01
2026-01-20;2026;1;Janeiro;1;20;Terça-feira;False;2026-01
2026-01-21;2026;1;Janeiro;1;21;Quarta-feira;False;2026-01
2026-01-22;2026;1;Janeiro;1;22;Quinta-feira;False;2026-01
2026-01-23;2026;1;Janeiro;1;23;Sexta-feira;False;2026-01
2026-01-24;2026;1;Janeiro;1;24;Sábado;True;2026-01
2026-01-25;2026;1;Janeiro;1;25;Domingo;True;2026-01
2026-01-26;2026;1;Janeiro;1;26;Segunda-feira;False;2026-01
2026-01-27;2026;1;Janeiro;1;27;Terça-feira;False;2026-01
2026-01-28;2026;1;Janeiro;1;28;Quarta-feira;False;2026-01
